audio_recording_id,start_time_seconds,end_time_seconds,low_frequency_hertz,high_frequency_hertz,tags,Powerful owl,Barking owl,Southern boobook,Eastern barn owl,Masked owl,Other birds,Koala,Possum,Insects,Frogs,Car,Nothing,Wind / rain,Something else
28662,565,575,0,11025,107:Southern Boobook|105:Insects,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO
28702,3385,3395,0,11025,114:birds,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES
28787,711,721,0,11025,105:Insects,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO
28787,842,852,0,11025,114:birds|116:wind|117:rain,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO
28819,5151,5161,0,11025,116:wind|117:rain,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
28857,6470,6480,0,11025,116:wind|117:rain,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
28892,235,245,0,11025,105:Insects,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO
28903,80,90,0,11025,108:Eastern Barn Owl|105:Insects,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO
28905,422,432,0,11025,105:Insects,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO
28913,189,199,0,11025,105:Insects,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO
28989,1544,1554,0,11025,105:Insects|116:wind|117:rain,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO
29016,56,66,0,11025,105:Insects,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO
29088,6251,6261,0,11025,114:birds,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO
29092,7071,7081,0,11025,105:Insects,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES
29128,5501,5511,0,11025,114:birds,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO
29148,6440,6450,0,11025,114:birds,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO
29158,5466,5476,0,11025,114:birds|105:Insects,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO
29225,6089,6099,0,11025,114:birds|104:Car,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO
29231,6595,6605,0,11025,114:birds,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO
29231,5609,5619,0,11025,114:birds|104:Car,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO
29284,5609,5619,0,11025,114:birds,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO
29286,1013,1023,0,11025,105:Insects,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES
29308,4190,4200,0,11025,114:birds,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO
29345,6254,6264,0,11025,109:Koala,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO
29386,5695,5705,0,11025,114:birds|116:wind|117:rain,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO
29401,1300,1310,0,11025,116:wind|117:rain,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
29405,2969,2979,0,11025,115:frogs,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO
29405,629,639,0,11025,104:Car,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO
29405,2969,2979,0,11025,115:frogs,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO
29405,629,639,0,11025,107:Southern Boobook,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
29405,2969,2979,0,11025,115:frogs,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO
29407,2470,2480,0,11025,116:wind|117:rain,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
29433,2393,2403,0,11025,105:Insects,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO
29475,166,176,0,11025,114:birds|116:wind|117:rain,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO
29520,2225,2235,0,11025,105:Insects,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO
29526,2928,2938,0,11025,104:Car,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO
29526,483,493,0,11025,104:Car,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO
29874,6912,6922,0,11025,104:Car,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO
29931,2317,2327,0,11025,116:wind|117:rain,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
29931,1565,1575,0,11025,104:Car,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO
29931,5040,5050,0,11025,104:Car,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO
29931,1565,1575,0,11025,104:Car,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO
29931,5040,5050,0,11025,104:Car,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO
29964,4804,4814,0,11025,116:wind|117:rain,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
29973,6101,6111,0,11025,104:Car,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO
30116,2209,2219,0,11025,100:Brush-tailed possum,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO
30116,3783,3793,0,11025,114:birds,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO
30116,3048,3058,0,11025,116:wind|117:rain,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
30116,2977,2987,0,11025,106:Barking Owl,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
30521,3173,3183,0,11025,116:wind|117:rain,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES
30521,6528,6538,0,11025,104:Car,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO
30521,6528,6538,0,11025,104:Car,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES
30521,6528,6538,0,11025,104:Car,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES
30521,6528,6538,0,11025,106:Barking Owl,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
30521,6573,6583,0,11025,116:wind|117:rain,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
30521,2977,2987,0,11025,116:wind|117:rain,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
30521,6573,6583,0,11025,116:wind|117:rain,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
30521,543,553,0,11025,104:Car,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO
30521,543,553,0,11025,104:Car,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO
30521,6588,6598,0,11025,100:Brush-tailed possum,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO
30521,543,553,0,11025,104:Car,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO
